章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,
SECT001,Q0390,債券価格,額面１００円、年１回利払い、クーポンレート１．２％、残存期間５年の債券の最終利回りが１．２％のとき、この債券の１年間の所有期間利回りが １．３％となる１年後の債券価格はいくらですか。なお、現在は利払い直後とする。,９９．２３円,１００．１０円,１０１．３５円,１０２．８５円,【５】-,2,１００．１０円,最終利回りがクーポンレートと同一なので、現在の債券価格は１００円ということがわかる。#よって、１年後の債券価格をPとすると、（P＋１．２）/１＋０．０１３＝１００となり、#１０１．３＝P＋１．２　よって、P＝１００．１となる。,
SECT001,Q0400,利回り曲線,利回り曲線に関する次の記述のうち、正しくないものはどれですか。,純イールドが多い理由の１つは、長期債投資の方が短期債投資よりリスクが高いので、高いリスクプレミアムを要求するためと考えられる。,逆イールドの背景には、金融引締め政策の実行により短期金利は急速に上昇するが、高金利は長期間続かないと市場が判断して、長期金利はそれほど 上がらないというものが考えられる。,中期の金利が長期や短期と比べて高いこぶ状のイールドカーブは、純イールドから逆イールドへ移行する際に見られ、市場の効率性に反する。,純期待仮説では、現在の長期金利に含まれているフォワードレートは将来の短期金利の期待値と等しいと説明するので、右上がりの利回り曲線には 将来の短期金利上昇の予想が含まれていると考える。,【５】-,3,中期の金利が長期や短期と比べて高いこぶ状のイールドカーブは、純イールドから逆イールドへ移行する際に見られ、市場の効率性に反する。,純イールド・・・右上がりの利回り曲線。純イールドとなる頻度が高い理由として短期投資より長期投資の方がリスクが高いためリスクプレミアムがかかるためと考えられる。 また、将来短期金利が上昇するという予想も含まれている。#逆イールド・・・右下がりの利回り曲線。金融当局が金融引き締め政策を実施した結果、短期金利は急速に上昇するが長期に続かないと考えられるため、長期金利はそれほど 上昇しない等の理由が考えられる。#純イールドと逆イールド間の移行中間・・・純イールドから逆イールド、または逆イールドから純イールドへの移行の中間において中期が最も低く、短期、長期が高い 形やその逆の中期が最も高いこぶ状の計上を示す形もある。#純粋期待仮説・・長期金利というのは、短期金利が将来どのようになるのかという予想のみを純粋に反映しているという仮説。#流動性プレミアム仮説・・・短期債と長期債では長期債の方が流動性が小さい。よって、その分長期債の方がリスクプレミアムが発生し、金利が高くなるという仮説。#市場分断仮説・・・短期資金市場の参加者と長期資金市場の参加者は異なるため、期間の異なる資金市場ではそれぞれの需給で金利が決まるという仮説。,
SECT001,Q0410,債券投資リスク,債券投資リスクに関する次の記述のうち、正しくないものはどれですか。,金利が上昇すると一般に債券価格が下落する。,格付の高い債券ほどデフォルトリスクが大きい。,取引があまり活発でない債券を大量に売却しようとすると、価格が下落するリスクがある。,コーラブル債は金利が低下するほど期限前に償還されるリスクが大きくなる。,【５】-,2,格付の高い債券ほどデフォルトリスクが大きい。,コーラブル債・・・任意償還のことをコールといい、任意償還条項のついた債券をコーラブル債という。発行者は金利が下がった場合には任意償還を行い、 より低い金利の債券に借換えができる。,
SECT001,Q0420,債券の信用格付け,債券の信用格付けに関する次の記述のうち、正しいものはどれですか。,一度付与された格付は、原則としてその債券が償還されるまでの間、見直しや変更が行われることはない。,資産担保証券（ABS)などの証券化商品は格付の対象にならない。,国や政府機関などが発行するソブリン債は、信用リスクがないため格付の対象にならない。,信用格付では財務上の特約など個々の債券の条件も考慮されるため、同一発行体の発行した債券でも異なる格付が付与されることもある。,【５】-,4,信用格付では財務上の特約など個々の債券の条件も考慮されるため、同一発行体の発行した債券でも異なる格付が付与されることもある。,４の通り、信用格付は発行体ではなく、発行された債券に対して格付するため、同一発行体の発行した債券でも異なる格付が付与されることもある。,
SECT001,Q0430,債券の信用格付け,信用格付けに関する次の記述のうち、正しくないものはどれですか。,格付会社は信用格付の正確性を示すために、過去の格付別のデフォルト率を公表している。,格付会社が公表する過去20年間の実績に基づく格付別平均累積デフォルト率をみると、投資適格等級と投機的等級のデフォルト率に大きな差があることがわかる。,格付会社が公表する過去20年間の実績に基づく各付別平均累積デフォルト率をみると、日本の発行体の平均累積デフォルト率は世界より高いことがわかる。,低格付債（BBBもしくはBaa以下）における格付間の金利スプレッド差は、高格付債（A以上）におけるそれより大きい。,【５】-,3,格付会社が公表する過去20年間の実績に基づく各付別平均累積デフォルト率をみると、日本の発行体の平均累積デフォルト率は世界より高いことがわかる。,日本の発行体の平均累積デフォルト率は世界平均より低い。,
SECT001,Q0440,デュレーションとコンベクシティ,デュレーションとコンベクシティに関する次の記述のうち、正しくないものはどれですか。,マコーレー・デュレーションはキャッシュフローの平均残存年数である。,修正デュレーションは、最終利回りの変化が微小な場合、債券価格の変化率がその何倍かを近似した尺度である。,修正デュレーションは、一般にマコーレー・デュレーションより大きな値となる。,一般的な固定利付債券では、最終利回りの上昇・下落にかかわらず、コンベクシティは債券価格の正の変化として影響する。,【５】-,3,修正デュレーションは、一般にマコーレー・デュレーションより大きな値となる。,修正デュレーションはマコーレー・デュレーションを（１＋最終利回り）で割ったものなので、一般的にマコーレー・デュレーションの 方が大きい値となる。 ,
SECT001,Q0450,株価指数先物のキャリー損益,いま、現物株価指数は10万円、先物の満期までのリスクフリー・レートは1.00％（年率)、配当利回りは1.50％（年率)、先物の満期までの日数は30日である。 この株価指数先物のキャリー損益（理論ベーシス)はいくらですか。ただし、いずれも１年＝365日ベースで年率換算されているものとする。,14円のキャリー損,10円のキャリー損,0円,4円のキャリー益,【５】-,2,10円のキャリー損,先物理論価格＝10万 ×（1+(0.01-0.015)×30/365) ＝9995.89 よって9996円#これより現物価格と先物価格の差は4円となり先物価格の方が安いので、キャリー益は４円となる。#キャリー損益・・・先物価格と現物価格の差#先物価格＝現物価格×（１＋金利－配当利回り）#※上記の金利と配当利回りは年率換算しない少数表示ベース、よって金利と配当利回りが年率の％で与えられた場合は下記の式となる#先物価格＝現物価格×（１＋(（金利－配当利回り）/100)×(先物満期までの日数/365)),
SECT001,Q0460,株式オプション価格,裁定取引機会が存在しないという前提のもとで、ヨーロピアン・タイプの株式プットオプション価格に関する次の記述のうち、 正しくないものはどれですか。ただし、対象株式に配当はないものとする。,行使価格が低いものほど安い。,本源的価値（本質的価値）を下回ることもある。,株価を上回ることもある。,行使価格を上回ることもある。,【５】-,4,行使価格を上回ることもある。,プットオプションは○○で売れる権利であるため、行使価格を上回ることはない。プットオプションが 最も儲かるのは該当株式が０円となった場合であるが、行使価格とプットオプションの値段が同一となった場合に は株価が０円となった時でさえ儲けがないため、プットオプションの値段が行使価格を上回ることはない。,
SECT001,Q0470,オプションと原資産,原資産としての株式、行使価格、満期が同じヨーロピアン・タイプのコールオプションとプットオプションを考える。 いま、１単位のコール買い、１単位のプット売りを行った。このポジションに加えて、次の取引のどれを行えば、原資産である 株式を１単位保有しているのと同じになりますか。ただし、rはオプションの満期までの間のリスクフリー・レート（年率換算せず） を示す。株式に配当の支払いはない。,オプションと満期が等しい割引債を、行使価格と同じ額面分だけ購入する。,オプションと満期が等しい割引債を、行使価格と同じ額面分だけ空売りする。,オプションと満期が等しい割引債を、行使価格/1+r　と同じ額面分だけ購入する。,オプションと満期が等しい割引債を、行使価格/1+r と同じ額面分だけ空売りする。,【５】-,1,オプションと満期が等しい割引債を、行使価格と同じ額面分だけ購入する。,プット・コールパリティ・・・コールの価格－プットの価格＋行使価格/1+r　＝　原資産価格#権利行使価格1000円の株式を例に、コールオプションの買いとプットオプションの 売りを足すと原資産価格が0円の場合に-1000円となる右肩上がりの直線となる。#これに満期時に1000円（行使価格）となる割引債を足すことで原資産と満期価値が一致する直線となるため、 原資産価格と一致する。満期時に行使価格となるような割引債の現在価値は行使価格/1+rである。#※ただし、rはオプション満期までの間の無リスク金利（年率換算せず）である。,
SECT001,Q0480,リスク中立確率,株価が次のように変化するとき、株価上昇のリスク中立確率はいくらですか。ただし、この株式は配当を支払わず、年率のリスクフリー・レート は１％とする。,0.25円,0.30円,0.40円,0.55円,【５】-,3,0.40円,まずはリスク中立確率pを求める。原資産価格の算出式から、100=(110×p+(1-p)×95)/1+0.01#これをといて、p=0.4#よって正解は3となる。,
SECT001,Q0490,オプションによる投資戦略,オプションを用いた以下の投資戦略のうち、原資産の価格が高くなればなるほど満期時点の利益が大きくなるものはどれですか。ただし、用いるオプションの 原資産および限月は同一のものとする。,バーティカル・ブル・プット・スプレッド,プロテクティブ・プット,カバード・コール・ライト,ストライドの売り,【５】-,3,カバード・コール・ライト,プロテクティブ・プットとは原資産買い＋プットOP買いのことで、原資産価格上昇時の利益を一部放棄し、原資産価格下落時の損失を限定させる。#また、カバード・コール・ライトは原資産買い＋コールOP売りのことで、原資産価格上昇時の利益を限定するかわりに、原資産価格下落時に、原資産だけを保有していた場合に比べ、OP料分損益が上昇する,
SECT001,Q0500,確率分布,確率分布に関する次の記述のうち、正しくないものはどれですか。,正規分布は、平均と分散という２つの数値を与えれば分布の形が確定する。,リターンが正規分布に従う２銘柄を組み合わせたポートフォリオのリターンは、必ずしも正規分布に従うとは限らない。,正規分布の歪度はゼロである。,標準正規分布の分散は１である。,【５】-,2,リターンが正規分布に従う２銘柄を組み合わせたポートフォリオのリターンは、必ずしも正規分布に従うとは限らない。,複数の正規分布の線形結合は、正規分布になる。,
SECT001,Q0510,リターンデータを用いたマーケットモデル,過去のリターン・データを用いたマーケットモデルの推定に関する次の記述のうち、、正しくないものはどれですか。,リターンは、安全資産のリターンを差し引いた超過リターンを使用する。,ヒストリカルベータの推定では、過去24ヵ月の月次リターンを用いることとされている。,説明変数と被説明変数の相関係数の符号は、回帰線の傾きの正負によって判断できる。,t検定を行うには、残差項の分布に特定の仮定を置くことが必要である。,【５】-,2,ヒストリカルベータの推定では、過去24ヵ月の月次リターンを用いることとされている。,ヒストリカルベータは過去一定期間の投資収益率を市場全体の収益率と回帰分析することで求めたファンド及び、 個別銘柄のベータでこの際に用いる過去データは24カ月と決まっているわけではない。#t検定とは、２つの集合を比較した際にその２つの集合に有意差（意味のある差）があるかどうかを検定する方法。#t値が大きい程、意味のある差である可能性が高くなり、t値から計算するp値の値が5%または1%の値以下になると意味のある差であると言える。,
SECT001,Q0520,リスク回避的な投資家選好,リスク回避的な投資家選好に関する次の記述のうち、、正しくないものはどれですか。,曲率の小さい効用関数を持つ投資家は、曲率の大きい効用関数を持つ投資家よりもリスク回避的である。,効用の数値の大小では個人間の効用の大きさを比較できない。,リスク回避度は、効用の単位の正の一次変換によって左右されない。,価値が確率的に変動するリスク資産の確実性等価額は、その資産の期待値よりも小さい。,【５】-,1,曲率の小さい効用関数を持つ投資家は、曲率の大きい効用関数を持つ投資家よりもリスク回避的である。,曲率の大きい効用関数を持つ投資家の方が、曲率の小さい効用関数を持つ投資家よりリスク回避的である。効用図が直線だとリスク中立的に近づく。,
SECT001,Q0530,CAPM,CAPMに関する次の記述のうち、、正しくないものはどれですか。,CAPMにおいては、市場は分散投資によって削減できるリスクに対して対価を要求しない。,ポートフォリオのベータは、ポートフォリオに組み入れられる各証券のベータを、銘柄別の投資比率で加重平均した値になる。,ベータが負の証券があれば、それに市場が要求する期待リターンはリスクフリーレートよりも小さくなる。,貸出利子率と貸入利子率が異なるゼロベータCAPMでは、市場の均衡状態においてマーケットポートフォリオは効率的ポートフォリオでなくなる。,【５】-,4,貸出利子率と貸入利子率が異なるゼロベータCAPMでは、市場の均衡状態においてマーケットポートフォリオは効率的ポートフォリオでなくなる。,ゼロベータCAPMでも市場の均衡状態においてマーケットポートフォリオは効率的なポートフォリオである。,
SECT001,Q0540,マルチファクター・モデルとAPT,マルチファクター・モデルとAPTに関する次の記述のうち、、正しいものはどれですか。,マルチファクター・モデルでは、証券のリスクを複数のファクターに対するエクスポージャーによってとらえる。,マルチファクター・モデルは、トラッキングエラーの管理には用いられない。,APTでは一般に、リスクフリー・レートの水準も含めてファクタープレミアムで説明される。,ファクターは多くの証券にリスクを与えるものなので、APTによればファクタープレミアムは正となる。,【５】-,1,マルチファクター・モデルでは、証券のリスクを複数のファクターに対するエクスポージャーによってとらえる。,APT(Arbitrage Priceing Theory：裁定価格理論)・・・ノー・フリーランチの原理、「世の中にただメシはない」という理屈から導かれた 理論であり、需要と供給の原理を用いてリスクの価格を求めたCAPMとは異なる理論。#マルチファクターモデル・・・株式の収益率を複数の要因（ファクター）から説明するモデル。代表的なモデルとしては、ファーマ＝フレンチ の３ファクターモデル（マーケットファクター、企業規模ファクター、バリューファクター）等がある。これに比べ、CAPMはマーケットファクターのみを 考慮しているのでシングルファクターモデルといえる。 ,
SECT001,Q0550,ポートフォリオリスク,次のうち正しいものを選んでください。,２証券のポートフォリオにおけるリスクはそれらの証券の共分散の平方根である。,ポートフォリオのリスクとは期待収益率の過去の時系列平均である。,ポートフォリオのリスクとは期待収益率の過去の時系列平均の標準偏差ではない。,AとBの証券の共分散はA証券の標準偏差xB証券標準偏差である,【５】-,1,２証券のポートフォリオにおけるリスクはそれらの証券の共分散の平方根である。,ポートフォリオのリスクとはポートフォリオの期待収益率の過去の時系列平均に対する(ベンチマーク収益率との差額の）標準偏差と捉えることもできる。#4についてはAとBの証券の共分散は[これらの証券の相関係数]x[A証券の標準偏差]x[B証券標準偏差]である,
[EOF],,,,,,,,,,,,
